,sumsquare_error,rank,aic,rank,ks_statistic,ks_pvalue,rank,cum. Rank
beta,0.576450904,1,686.7508496,1,0.119775918,0.703736474,5,7
norm,0.576885,2,719.9355801,3,0.11705718,0.729416928,3,8
lognorm,0.576885,3,721.935642,4,0.117056521,0.72942311,2,9
logistic,0.578164412,5,730.9238326,6,0.110309606,0.791055024,1,12
gamma,0.577949534,4,721.9915239,5,0.119083575,0.71030702,4,13
rayleigh,0.586577622,7,710.3114179,2,0.143652858,0.480003568,7,16
laplace,0.585516181,6,744.7308855,8,0.13123248,0.594120706,6,20
pareto,0.6247191,8,742.2943886,7,0.269785065,0.015099814,8,23
chi,0.702547136,9,5553.237857,9,0.930195111,2.02E-37,9,27
,,,,,,,,
,,,,,,,,
,"{'beta': {'a': 0.9682838560373657, 'b': 0.8062783202144057, 'loc': 11.759435750335197, 'scale': 29.240564249664807}}",,,,,,,
