,sumsquare_error,rank,aic,rank,ks_statistic,ks_pvalue,rank,cum. Rank
logistic,0.355512329,2,832.7515464,5,0.104412013,0.840970654,1,8
laplace,0.349546633,1,840.3458924,6,0.113023359,0.766719077,2,9
norm,0.362923276,3,805.7461407,3,0.160970527,0.34113018,3,9
lognorm,0.362923456,4,807.7460556,4,0.160971337,0.341124354,4,12
gamma,0.365620726,5,802.1900114,2,0.172057025,0.267614259,5,12
rayleigh,0.395468332,6,762.5838189,1,0.28379036,0.008973278,6,13
pareto,0.445870299,7,1283.55056,7,0.579866616,9.68E-11,7,21
chi,0.451000935,8,8366.478859,8,0.937499968,5.88E-39,8,24
beta,0.473402874,9,inf,9,1,0,9,27
,,,,,,,,
,,,,,,,,
,,,,,,,,
,"logistic: (loc, scale) = (35.392491312474974, 3.9894709901829306)",,,,,,,
