,sumsquare_error,rank,aic,rank,ks_statistic,ks_pvalue,rank,cum. Rank
logistic,1.03832379,1,728.2936881,7,0.103541378,0.872017772,1,9
norm,1.041322425,2,716.1260545,3,0.121833122,0.719547219,4,9
lognorm,1.041698694,3,717.4602429,5,0.117857661,0.755458899,2,10
gamma,1.041717215,4,717.4070089,4,0.117868332,0.75536382,3,11
beta,1.042822189,5,715.6428464,2,0.122104438,0.717066046,5,12
rayleigh,1.056607501,7,699.0090927,1,0.165314538,0.346530826,7,15
laplace,1.043312385,6,740.9419379,8,0.139593867,0.555724841,6,20
pareto,1.122808227,8,726.9880859,6,0.292071607,0.009220528,8,22
chi,1.393529758,9,4374.756569,9,0.924789826,3.88E-34,9,27
,,,,,,,,
,,,,,,,,
"{'logistic': {'loc': 20.619187622547926, 'scale': 3.402700917921969}}",,,,,,,,
