dist,sumsquare_error,rank,aic,rank,ks_statistic,ks_pvalue,rank,cum. Rank
beta,0.384844414,1,729.0155928,1,0.131716452,0.628056527,1,3
norm,0.393993331,3,756.1248046,3,0.145077586,0.506980496,3,9
gamma,0.394080493,5,758.1292141,5,0.145022495,0.507461263,2,12
lognorm,0.393993707,4,758.1248123,4,0.145077597,0.506980398,4,12
rayleigh,0.395638617,7,751.4578473,2,0.158597214,0.395895421,6,15
laplace,0.389694262,2,782.4073747,7,0.162930177,0.363577359,7,16
logistic,0.394636137,6,765.0828869,6,0.147381344,0.487058615,5,17
pareto,0.403101963,8,784.1170113,8,0.263083402,0.025412129,8,24
chi,0.462507465,9,7558.290187,9,0.950412024,1.45E-39,9,27
,,,,,,,,
,,,,,,,,
"{'beta': {'a': 0.8557842561498632, 'b': 0.9121750708505023, 'loc': 12.999999999999998, 'scale': 36.41149151510446}}",,,,,,,,
