total_t,total_$,tw0,tw1,tw3,tw4
597,28892352,104,155,95,161
593,29847978,85,160,103,167
643,29893618,117,141,109,128
636,30311141,114,123,118,138
620,29352352,101,151,116,146
595,29724212,89,157,109,157
629,30014045,101,132,115,143
633,29612352,97,173,101,123
601,29288334,94,138,118,169
615,30124212,90,164,91,156
606,30425904,90,133,88,167
594,30185904,74,141,78,159
593,28812352,99,161,84,161
599,28932352,103,165,107,162
595,28852352,118,172,95,165
647,30374045,138,130,85,120
595,29168334,102,141,103,179
599,29248334,122,144,95,159
620,30224212,92,171,92,139
589,30001459,91,119,110,163
594,30343000,93,123,90,183
626,29472352,113,156,106,152
637,30008334,121,143,105,135
591,28772352,107,163,98,166
627,29808334,110,133,79,139
605,29368334,131,137,84,165
603,29012352,115,151,110,172
600,28952352,100,173,106,168
598,28912352,108,153,88,164
604,29032352,101,159,95,174
577,28808334,94,140,97,170
630,29552352,98,186,97,132
627,30364212,87,164,90,129
594,28832352,97,163,110,182
597,28973618,120,144,97,177
618,29312352,101,164,114,147
626,29742986,100,157,128,124
629,29532352,126,166,106,141
594,29704212,77,183,97,177
614,29232352,107,169,87,138
586,30025904,84,134,99,168
603,29651141,126,132,89,160
617,30164212,83,173,103,139
633,30484212,85,164,96,146
606,29072352,94,163,99,157
612,30064212,91,159,92,165
587,28692352,97,172,84,180
590,29940193,88,139,98,182
632,30074045,112,121,87,120
594,30020193,90,141,91,188
590,28752352,105,174,114,165
619,30204212,93,167,100,145
619,29332352,99,173,99,140
599,29804212,90,156,103,160
594,29314045,101,130,99,158
594,30101459,79,115,117,167
596,29744212,86,153,91,158
643,30684212,93,169,84,117
606,29665793,127,151,128,162
613,29212352,107,149,111,156
587,30045904,93,124,94,176
586,28672352,96,163,84,180
600,29268334,102,132,99,174
631,29572352,97,169,98,125
593,29684212,78,158,118,159
596,28872352,104,161,116,179
636,29672352,113,172,96,115
597,29764212,91,157,100,164
629,30885904,83,121,113,128
616,30460193,91,127,99,132
625,29768334,107,137,104,137
608,29938864,92,170,130,153
581,28888334,102,151,93,183
631,30444212,89,165,106,118
602,29864212,90,196,112,177
628,30865904,89,125,114,119
602,28992352,111,163,106,169
608,30300193,84,155,84,144
616,29754045,111,124,82,146
611,30360193,92,125,121,154
571,29244212,90,174,100,163
632,29908334,114,128,104,134
617,29931141,114,129,101,161
631,30760193,93,147,96,125
634,29902986,97,152,137,131
627,29492352,115,164,115,144
583,29965904,81,136,103,164
595,29678864,90,176,135,161
590,29391141,96,123,103,177
630,30424212,81,168,119,121
605,29052352,107,161,96,157
588,29900193,93,144,115,166
592,29108334,102,135,110,168
592,29274045,103,123,122,163
608,29112352,118,171,91,167
632,29592352,106,164,96,140
585,30005904,80,135,87,160
625,30324212,88,181,119,132
633,30965904,91,129,95,123
637,29692352,119,172,103,141
638,29712352,109,155,99,134
595,30572839,69,178,89,160
589,28732352,96,161,87,184
643,29812352,119,157,87,121
626,30344212,84,179,84,143
616,30144212,78,155,103,128
626,29788334,100,143,87,142
624,29432352,100,169,93,138
604,29348334,96,145,97,155
616,29272352,116,163,103,143
583,28612352,97,173,106,158
607,29092352,117,163,85,155
612,29192352,98,180,105,159
575,30172839,66,159,87,171
637,29728271,105,141,132,119
609,29448334,111,136,108,151
589,30085904,88,130,112,178
634,30504212,93,174,88,135
582,29945904,85,124,96,165
638,30584212,86,162,103,128
608,29428334,99,146,115,165
630,29868334,94,141,88,131
597,29208334,95,146,114,173
635,29968334,95,145,104,126
636,30154045,95,126,104,122
635,30524212,82,162,94,132
623,30284212,93,179,89,144
623,29412352,100,161,107,143
618,29628334,118,147,99,150
588,29584212,89,173,104,179
584,29820193,83,150,105,182
573,29284212,92,169,94,183
636,30544212,86,167,97,137
605,29534045,114,126,103,162
603,29884212,92,162,84,162
635,29652352,122,159,107,137
625,29452352,104,185,99,128
624,30071141,106,129,102,147
606,29388334,104,141,109,163
588,29351141,95,124,102,178
623,29728334,99,139,118,135
609,29132352,109,187,116,172
639,30920193,91,134,121,138
591,29088334,109,131,88,180
616,29588334,120,137,116,166
599,29414045,95,131,111,168
580,29424212,84,158,93,175
584,29504212,84,168,99,196
624,29748334,135,131,101,158
592,29355311,125,108,87,171
625,29934045,98,139,106,132
609,29614045,137,128,105,162
603,29452425,112,135,86,104
589,29371141,116,130,94,190
611,30764266,82,115,91,131
590,29624212,89,163,102,162
628,30384212,86,162,104,136
593,29294045,115,127,96,168
593,29209600,101,123,108,167
602,29631141,106,119,93,173
634,30820193,90,139,74,147
586,28988334,98,126,93,194
630,30034045,122,136,103,143
631,29888334,129,131,118,136
628,29512352,103,168,107,129
628,29994045,94,123,113,137
590,29068334,94,138,89,172
588,28712352,94,169,106,180
598,29228334,98,125,105,164
615,29568334,114,130,91,155
609,30004212,92,169,100,133
