total_$,total_t,tw0,tw1,tw3,tw4
37440203,607,40,162,101,124
35332470,606,42,148,99,178
34347728,605,43,174,105,170
34102256,620,45,131,121,166
33774601,609,45,131,103,175
33349122,622,47,134,125,132
33292990,611,48,166,117,125
33206048,620,48,131,104,161
33202014,610,48,128,126,156
32993801,621,48,177,99,167
32944483,609,47,138,84,177
32913801,617,46,164,87,170
32909766,607,48,173,112,157
32885726,614,46,175,86,156
32873801,615,46,172,90,163
32710170,626,50,135,109,138
32678662,611,47,180,115,165
32460416,614,49,168,97,123
32406290,634,50,165,125,168
32403885,620,49,120,98,168
32399482,628,50,180,126,142
32383270,619,50,168,102,149
32315069,609,50,156,114,119
32289721,610,50,168,130,128
32280673,618,50,126,103,163
32231637,623,49,160,106,171
32191637,621,50,179,104,177
32131637,618,49,170,95,163
31987603,601,51,162,117,149
31905217,633,54,134,94,147
31883435,624,54,152,87,127
31880804,617,53,131,95,121
31856821,629,55,170,108,135
31826063,637,52,151,114,130
31818967,621,55,160,116,123
31807329,632,54,147,112,143
31771411,632,53,169,105,135
31752025,631,55,132,104,172
31731411,630,55,182,87,131
31694792,623,55,148,84,137
31693338,616,54,135,105,148
31689823,615,55,145,98,127
31686063,630,54,167,107,133
31683319,614,55,139,96,129
31672970,633,54,166,98,146
31652970,632,54,170,103,140
31628557,616,53,183,101,128
31603467,630,54,133,112,180
31588814,627,54,132,94,177
31586063,625,52,160,117,136
31581044,630,54,148,104,168
31574431,636,55,165,120,162
31557593,605,52,143,96,128
31548814,625,54,137,103,168
31547622,629,55,162,109,138
31539778,632,54,164,106,170
31519778,631,55,159,90,170
31518967,606,53,164,113,124
31512025,619,55,133,94,178
31509289,628,55,148,89,141
31508345,622,55,132,103,168
31499778,630,55,171,102,165
31487622,626,53,173,110,135
31483417,633,51,107,97,140
31472419,642,59,136,109,129
31457593,600,54,137,92,123
31444780,610,52,130,122,148
31437766,638,59,137,93,127
31421091,614,53,179,90,153
31414555,641,58,137,87,134
31399778,625,55,166,101,169
31359778,623,53,176,101,171
31359023,619,54,137,98,173
31354431,625,55,166.5,119,165
31341044,618,52,151,95,161
31336670,636,61,137,79,139
31329289,619,54,170,96,147
31314431,623,54,168,113,166
31294217,621,54,166,71,176
31287008,640,58,129,94,136
31281091,607,52,164,88,151
31279778,619,53,162,104,176
31278450,646,61,138,113,147
31263797,643,61,137,101,137
31247008,638,61,132,98,133
31224154,628,61,132,93,129
31214555,631,56,133,100,133
31203797,640,60.5,139,97.5,136.5
31201661,638,58,127,109,133
31196876,646,60,160,75,131
31195391,622,55,161,97,185
