total_t,total_$
577,28036259
579,28076259
576,28097525
558,28112352
581,28116259
582,28136259
560,28152352
583,28156259
561,28172352
584,28176259
580,28177525
560,28177952
562,28192352
585,28196259
581,28197525
563,28212352
586,28216259
582,28217525
564,28232352
587,28236259
583,28237525
565,28252352
584,28257525
566,28272352
589,28276259
585,28277525
567,28292352
584,28294863
590,28296259
586,28297525
568,28312352
564,28313618
591,28316259
587,28317525
576,28332240
569,28332352
572,28333506
582,28336129
592,28336259
588,28337525
570,28352352
566,28353618
583,28356129
593,28356259
589,28357525
571,28372352
574,28373506
594,28376259
590,28377525
556,28388334
572,28392352
575,28393506
568,28393618
589,28394863
595,28396259
591,28397525
570,28397700
580,28412240
573,28412352
576,28413506
569,28413618
590,28414863
596,28416259
592,28417525
571,28417700
576,28427005
558,28428334
581,28432240
574,28432352
577,28433506
570,28433618
566,28436118
587,28436129
597,28436259
593,28437525
572,28437700
559,28448334
582,28452240
575,28452352
571,28453618
598,28456259
594,28457525
573,28457700
578,28467005
560,28468334
583,28472240
576,28472352
579,28473506
572,28473618
593,28474863
568,28476118
589,28476129
599,28476259
595,28477525
574,28477700
579,28487005
561,28488334
584,28492240
577,28492352
580,28493506
573,28493618
569,28496118
600,28496259
596,28497525
575,28497700
576,28497952
580,28507005
562,28508334
578,28512352
581,28513506
574,28513618
570,28516118
591,28516129
601,28516259
597,28517525
576,28517700
581,28527005
563,28528334
586,28532240
579,28532352
582,28533506
575,28533618
571,28536118
592,28536129
602,28536259
598,28537525
577,28537700
578,28537952
583,28541956
582,28547005
564,28548334
587,28552240
580,28552352
583,28553506
576,28553618
572,28556118
593,28556129
603,28556259
599,28557525
578,28557700
580,28563222
564,28566029
583,28567005
565,28568334
588,28572240
581,28572352
584,28573506
577,28573618
598,28574863
573,28576118
594,28576129
604,28576259
600,28577525
579,28577700
581,28583222
584,28587005
566,28588334
589,28592240
582,28592352
585,28593506
578,28593618
599,28594863
573,28595047
574,28596118
595,28596129
605,28596259
601,28597525
580,28597700
572,28601490
585,28607005
567,28608334
563,28609600
590,28612240
583,28612352
586,28613506
579,28613618
559,28614045
600,28614863
575,28616118
596,28616129
606,28616259
602,28617525
581,28617700
582,28617952
584,28618854
570,28622986
580,28623299
586,28627005
568,28628334
591,28632240
584,28632352
587,28633506
580,28633618
560,28634045
575,28635047
576,28636118
597,28636129
607,28636259
571,28636313
603,28637525
589,28637588
582,28637700
583,28637952
579,28639218
588,28641956
584,28643222
587,28647005
569,28648334
565,28649600
592,28652240
585,28652352
588,28653506
581,28653618
602,28654863
577,28656118
598,28656129
608,28656259
604,28657525
583,28657700
584,28657952
586,28658854
579,28658966
580,28659218
589,28661956
585,28663222
588,28667005
570,28668334
566,28669600
593,28672240
586,28672352
589,28673506
582,28673618
562,28674045
603,28674863
578,28676118
599,28676129
609,28676259
605,28677525
584,28677700
585,28677952
581,28679218
576,28681466
590,28681956
586,28683222
589,28687005
582,28687667
585,28688271
571,28688334
567,28689600
594,28692240
587,28692352
590,28693506
583,28693618
563,28694045
578,28695047
579,28696118
600,28696129
610,28696259
