total_t,total_$,tw0,tw1,tw3,tw4
607,37440203,40,162,101,124
606,35332470,42,148,99,178
605,34347728,43,174,105,170
620,34102256,45,131,121,166
609,33774601,45,131,103,175
622,33349122,47,134,125,132
611,33292990,48,166,117,125
620,33206048,48,131,104,161
610,33202014,48,128,126,156
621,32993801,48,177,99,167
609,32944483,47,138,84,177
617,32913801,46,164,87,170
607,32909766,48,173,112,157
614,32885726,46,175,86,156
615,32873801,46,172,90,163
626,32710170,50,135,109,138
611,32678662,47,180,115,165
614,32460416,49,168,97,123
634,32406290,50,165,125,168
620,32403885,49,120,98,168
628,32399482,50,180,126,142
619,32383270,50,168,102,149
609,32315069,50,156,114,119
610,32289721,50,168,130,128
618,32280673,50,126,103,163
623,32231637,49,160,106,171
621,32191637,50,179,104,177
618,32131637,49,170,95,163
601,31987603,51,162,117,149
633,31905217,54,134,94,147
624,31883435,54,152,87,127
617,31880804,53,131,95,121
629,31856821,55,170,108,135
637,31826063,52,151,114,130
621,31818967,55,160,116,123
632,31807329,54,147,112,143
632,31771411,53,169,105,135
631,31752025,55,132,104,172
630,31731411,55,182,87,131
623,31694792,55,148,84,137
616,31693338,54,135,105,148
615,31689823,55,145,98,127
630,31686063,54,167,107,133
614,31683319,55,139,96,129
633,31672970,54,166,98,146
632,31652970,54,170,103,140
616,31628557,53,183,101,128
630,31603467,54,133,112,180
627,31588814,54,132,94,177
625,31586063,52,160,117,136
630,31581044,54,148,104,168
636,31574431,55,165,120,162
605,31557593,52,143,96,128
625,31548814,54,137,103,168
629,31547622,55,162,109,138
632,31539778,54,164,106,170
631,31519778,55,159,90,170
606,31518967,53,164,113,124
619,31512025,55,133,94,178
628,31509289,55,148,89,141
622,31508345,55,132,103,168
630,31499778,55,171,102,165
626,31487622,53,173,110,135
633,31483417,51,107,97,140
642,31472419,59,136,109,129
600,31457593,54,137,92,123
610,31444780,52,130,122,148
638,31437766,59,137,93,127
614,31421091,53,179,90,153
641,31414555,58,137,87,134
625,31399778,55,166,101,169
623,31359778,53,176,101,171
619,31359023,54,137,98,173
625,31354431,55,170,127,163
618,31341044,52,151,95,161
636,31336670,61,137,79,139
619,31329289,54,170,96,147
623,31314431,54,168,113,166
621,31294217,54,166,71,176
640,31287008,58,129,94,136
607,31281091,52,164,88,151
619,31279778,53,162,104,176
646,31278450,61,138,113,147
643,31263797,61,137,101,137
638,31247008,61,132,98,133
628,31224154,61,132,93,129
631,31214555,56,133,100,133
640,31203797,61,141,104,136
638,31201661,58,127,109,133
646,31196876,60,160,75,131
622,31195391,55,161,97,185
597,31194283,53,173,93,133
641,31188567,61,140,97,149
636,31187634,59,171,82,134
637,31185519,61,164,97,127
639,31183797,61,141,94,131
618,31176565,55,159,121,162
646,31174761,61,169,92,131
635,31167634,59,166,79,130
636,31165519,59,158,97,130
638,31160172,58,173,110,134
644,31156876,60,162,84,139
640,31154824,61,161,133,139
636,31145912,61,141,85,137
600,31141091,53,170,94,155
615,31125182,53,153,106,174
623,31124154,58,135,106,127
634,31121661,61,132,117,137
634,31119716,59,124,111,135
620,31116701,61,132,86,126
639,31116027,61,151,106,130
618,31115391,55,163,93,178
643,31114761,60,177,98,132
632,31107634,61,178,84,135
638,31096027,57,145,88,140
642,31094761,60,172,101,136
617,31094565,59,126,109,121
610,31081178,58,114,99,118
615,31079835,54,170,109,176
636,31078450,58,129,118,135
641,31075376,59,126,91,162
628,31073173,61,152,97,114
635,31068567,59,129,92,136
633,31063797,56,137,92,137
624,31060943,59,135,99,124
640,31055376,61,135,100,160
638,31051294,61,117,120,163
638,31050680,56,145,108,133
624,31047665,61,159,104,126
637,31047471,61,141,81,159
638,31045356,61,142,98,141
632,31043797,61,135,105,134
603,31039023,53,142,94,171
634,31038450,59,140,121,130
641,31030028,61,142,112,181
610,31029987,55,174,93,168
641,31029414,59,183,114,132
629,31025519,61,163,90,128
639,31025332,60,159,129,135
631,31023797,59,126,90,137
622,31020943,57,141,104,123
631,31020172,61,166,123,133
637,31017491,60,128,83,160
638,31014761,60,170,98,136
635,30998992,59,158,70,135
636,30997491,57,128,77,165
637,30995376,57,130,106,163
637,30994761,57,187,104,134
627,30981661,57,135,113,137
632,30976642,60,112,93,168
636,30974761,59,161,98,140
627,30971907,61,165,96,123
638,30969414,60,167,124,144
630,30968567,61,129,101,153
625,30967826,60,149,110,117
628,30963797,61,141,104,137
622,30962318,61,176,123,120
657,30956406,72,123,81,133
641,30956320,61,186,95,137
635,30955376,59,126,92,169
637,30950028,60,136,109,172
632,30944887,61,121,92,154
633,30937491,58,132,81,166
634,30935376,61,134,104,166
634,30934761,56,195,100,139
636,30929414,59,184,112,144
645,30923128,60,164,96,160
617,30920943,57,128,89,128
626,30920172,59,162,108,127
634,30920009,61,140,115,136
621,30916689,60,135,106,156
633,30915376,61,133,96,162
633,30914761,57,160,90,133
655,30914461,72,118,79,129
637,30912164,58,141,97,166
624,30911907,61,171,98,128
623,30911341,60,124,108,149
631,30911294,57,116,111,187
643,30905244,59,164,81,160
632,30895376,58,142,105,169
632,30894761,56,195,105,141
620,30894743,61,138,106,147
636,30892164,61,135,91,168
634,30889414,58,175,120,137
626,30888567,58,125,98,150
615,30880943,61,141,101,122
632,30880009,59,135,115,141
631,30874761,60,161,105,134
635,30872164,61,137,93,163
633,30870028,60,130,108,187
614,30869780,61,168,84,123
630,30855376,60,123,99,169
634,30852164,58,127,101,161
621,30851907,60,171,100,127
601,30849987,53,169,102,180
632,30849414,60,171,119,132
632,30845754,60,124,77,174
630,30840009,60,135,121,144
643,30837781,60,165,112,168
628,30836876,59,174,85,134
635,30836320,56,187,87,138
609,30835790,59,162,99,111
615,30835596,61,137,123,127
629,30835376,61,133,102,181
608,30831354,58,138,117,110
622,30829938,58,147,74,157
631,30829414,61,197,110,137
654,30828944,72,120,109,135
622,30826560,61,165,117,128
628,30824441,60,177,106,148
640,30823128,60,168,90,168
634,30815433,60,121,107,178
628,30815376,61,132,104,172
620,30813477,58,141,101,156
632,30812164,59,137,98,166
631,30811695,60,126,94,179
630,30809414,58,155,120,138
653,30808944,72,129,113,130
638,30805244,61,169,83,165
607,30804154,59,129,91,129
631,30803639,61,116,102,177
639,30803128,60,155,97,163
650,30794291,72,133,92,134
630,30794280,61,140,81,169
653,30793195,72,140,78,141
631,30792164,60,140,98,171
618,30791907,57,167,93,129
617,30791341,61,134,107,157
635,30790973,56,172,119,144
623,30787002,61,118,85,151
656,30785732,71,139,123,133
637,30785244,61,164,83,170
624,30784887,59,135,86,148
634,30784394,56,151,102,162
654,30783596,72,123,133,127
657,30783310,72,146,103,133
638,30783128,58,179,98,167
635,30781470,57,131,128,163
624,30779606,61,141,70,170
628,30777586,61,144,91,139
632,30776320,59,165,94,145
626,30775376,60,128,96,169
626,30774761,57,160,91,132
630,30772164,56,139,95,171
617,30771907,60,166,96,129
